一个	یک (حرف تعریف نامعین)	yī gè
小符号	همزه	xiǎo fú hào
到	به، تا (حرف اضافه)	dào
向	به، تا (حرف اضافه)	xiàng
吐司	برشته کردن؛ برشته شدن	tǔ sī
烤面包	برشته کردن؛ برشته شدن	kǎo miàn bāo
烟草	توتون؛ تنباکو	yān cǎo
今天	امروز	jīn tiān
当今	امروز	dāng jīn
足趾	انگشت پا؛ شست پا	jù zhǐ
趾部	انگشت پا؛ شست پا	zhǐ bù
一起	با هم	yī qǐ
共同	با هم	gòng tóng
梳妆	توالت	shū zhuāng
表征	علامت	biǎo zhēng
记号	علامت	jì hao
可容忍的	قابل تحمل؛ تحمل پذیر	kě róng rěn de
可以的	قابل تحمل؛ تحمل پذیر	kě yǐ de
宽容的	صبور؛ شکیبا	kuān róng de
容忍的	صبور؛ شکیبا	róng rěn de
宽容	تحمل کردن؛ بردباری کردن	kuān róng
容许	تحمل کردن؛ بردباری کردن	róng xǔ
默认	مدارا؛ آزادمنشی	mò rèn
通行费	باج؛ حق العبور	tōng xíng fèi
番茄	گوجه فرنگی	fān qié
西红柿	گوجه فرنگی	xī hóng shì
明天	فردا	míng tiān
吨	تن	dūn
音调	لحن؛ آهنگ	yīn diào
音质	لحن؛ آهنگ	yīn zhì
夹具	انبر	jiā jù
舌	زبان؛ لسان	shé
语言能力	زبان؛ لسان	yǔ yán néng lì
今晚	امشب	jīn wǎn
今夜	امشب	jīn yè
吨位	تن شماری؛ بر حسب شماره تن	dūn wèi
扁桃体	بادامک؛ لوزه	biǎn táo tǐ
机床	وسیله؛ آلت	jī chuáng
牙齿	دندان	yá chǐ
齿状物	دندان	chǐ zhuàng wù
有齿的	مضرس؛ دندانه دار	yǒu chǐ de
锯齿的	مضرس؛ دندانه دار	jù chǐ de
无齿的	بی دندان؛ بدون دندانه	wú chǐ de
无牙的	بی دندان؛ بدون دندانه	wú yá de
顶部	بالا؛ راس	dǐng bù
顶端	بالا؛ راس	dǐng duān
启发之物	مشعل؛ مشعلدار کردن	qǐ fā zhī wù
撕裂了	علف بلند؛ گچ بری	sī liè le
使人痛苦的东西	آزار؛ عذاب	shǐ rén tòng kǔ de dōng xī
折磨者	آزار؛ عذاب	zhé mó zhě
旋风	گردباد	xuàn fēng
龙卷风	گردباد	lóng juǎn fēng
奔流	سیل وار؛ جریان شدید	bēn liú
倾盆大雨	سیل وار؛ جریان شدید	qīng pén dà yǔ
龟	سنگ پشت؛ لاک پشت	guī
拷问	آزار؛ عذاب	kǎo wèn
苦闷	آزار؛ عذاب	kǔ mèn
总的	جمع؛ کل	zǒng de
动摇的	تاتی	dòng yáo de
碰	مس؛ لامسه	pèng
强硬的	صعب؛ شلاق خور	qiáng yìng de
旅游	گشت کردن؛ سیاحت کردن	lǚ yóu
观光旅行	گشت کردن؛ سیاحت کردن	guān guāng lǚ xíng
观光业	سیاحت؛ جهانگردی	guān guāng yè
游览	سیاحت؛ جهانگردی	yóu lǎn
观光客	توریست	guān guāng kè
止血器	شریان بند	zhǐ xuè qì
压脉器	شریان بند	yā mài qì
招徕顾客	بلند انتشار دادن؛ بلند جار زدن	zhāo lái gù kè
兜售物品	بلند انتشار دادن؛ بلند جار زدن	dōu shòu wù pǐn
对于	به‌سوی؛ نسبت به	duì yú
手巾	لنگ؛ حوله	shǒu jīn
毛巾	لنگ؛ حوله	máo jīn
塔	برج	tǎ
高楼	برج	gāo lóu
城镇	شهر	chéng zhèn
市	شهر	shì
中毒的	مسموم؛ زهرآلود	zhòng dú de
毒素	زهر؛ زهرابه	dú sù
玩具	بازیچه؛ لعبت	wán jù
小玩艺儿	بازیچه؛ لعبت	xiǎo wán yì r
痕迹	ردگیری کردن	hén jì
踪迹	ردگیری کردن	zōng jì
可追踪的	قابل تعقیب	kě zhuī zōng de
可描绘的	قابل تعقیب	kě miáo huì de
气管的	نای مانند	qì guǎn de
导管的	نای مانند	dǎo guǎn de
跟踪	ردیابی کردن؛ رد پا گرفتن	gēn zōng
易于管教的	سربراه؛ سست مهار	yì yú guǎn jiào de
贸易	تجارت؛ دادوستد	mào yì
商船	سوداگر	shāng chuán
传统	رسم؛ سنت	chuán tǒng
惯例的	سنتی؛ عرفی	guàn lì de
传统上	علیالرسم؛ نقلا	chuán tǒng shǎng
传说上	علیالرسم؛ نقلا	chuán shuō shǎng
通行	ترافیک	tōng xíng
悲剧	تراژدی	bēi jù
惨案	تراژدی	cǎn àn
悲剧的	غم‌انگیز	bēi jù de
追踪者	تریلی	zhuī zōng zhě
拖车	تریلی	tuō chē
火车	قطار، آموزش دادن	huǒ chē
实习生	کارآموز؛ فرهیختگر	shí xí sheng
训练员	مودب؛ پرورنده	xùn liàn yuán
驯马师	مودب؛ پرورنده	xùn mǎ shī
叛逆者	غادر؛ غدار	pàn nì zhě
叛国者	غادر؛ غدار	pàn guó zhě
坚实的脚步声	صدای پا؛ آسمان جل	jiān shí de jiǎo bù shēng
流浪者	صدای پا؛ آسمان جل	liú làng zhě
践踏	پامال کردن؛ پایمال کردن	jiàn tà
宁静	آسایش؛ سکون	níng jìng
办理	دادوستد کردآن؛ داد وستد کردن	bàn lǐ
抄写	نسخه بر داشتن	chāo xiě
译	نسخه بر داشتن	yì
抄写者	آوانویس	chāo xiě zhě
誊写员	آوانویس	téng xiě yuán
抄本	استنساخ؛ رونویسی	chāo běn
迁移	انتقال؛ واکهداشتن	qiān yí
使转换	استحاله یافتن؛ تغییر شکل دادن	shǐ zhuǎn huàn
变压器	مقلب؛ ترانسفورماتور	biàn yā qì
促使变化的人	مقلب؛ ترانسفورماتور	cù shǐ biàn huà de rén
倾注	تزریق؛ نقل وانتقال	qīng zhù
输血	تزریق؛ نقل وانتقال	shū xuè
瞬	گذرا؛ سپنج	shùn
短期居留者	گذرا؛ سپنج	duǎn qī jū liú zhě
翻译	ترجمه کردن	fān yì
译文	ترجمه؛ مترجمی	yì wén
翻译者	مترجم؛ مترجم کتبی	fān yì zhě
翻译程序	مترجم؛ مترجم کتبی	fān yì chéng xù
半透明的	فراتاب	bàn tòu míng de
传输	ارسال؛ مخابره	chuán shū
传送	ارسال؛ مخابره	chuán sòng
透明的	شفاف	tòu míng de
使移居	پیوند کردن؛ پیوند زدن	shǐ yí jū
输送	حمل و نقل	shū sòng
圈套	تله	quān tào
外伤	جراحت؛ اثر ضربت	wài shāng
损伤	جراحت؛ اثر ضربت	sǔn shāng
外伤的	ضربهای؛ جراحتی	wài shāng de
创伤的	ضربهای؛ جراحتی	chuāng shāng de
分娩的痛苦	درد شکیدن	fēn miǎn de tòng kǔ
阵痛	درد شکیدن	zhèn tòng
游历	سفر، سفر کردن	yóu lì
旅行商	مسافر؛ سیاح	lǚ xíng shāng
托盘	طبله؛ سینی	tuō pán
公文盘	طبله؛ سینی	gōng wén pán
不可信任的	غادر؛ خیانت کار	bù kě xìn rèn de
变节	نارو	biàn jié
踏	پازدن	tā
踏车	چرخ عصارخانه	tà chē
令人厌倦的工作	چرخ عصارخانه	lìng rén yàn juàn de gōng zuò
叛逆	خیانت؛ غداری	pàn nì
不忠	خیانت؛ غداری	bù zhōng
宝物	گنج	bǎo wù
会计	خازن؛ گنجور	kuài jì
国库	گنجینه؛ گنجوری	guó kù
宝库	گنجینه؛ گنجوری	bǎo kù
宴请	رفتار کردن؛ درمان کردن	yàn qǐng
待遇	درمان؛ رفتار	dài yù
最高声部	صدای زیر؛ سه برابر	zuì gāo shēng bù
三倍	صدای زیر؛ سه برابر	sān bèi
树	درخت	shù
无树木的	بی درخت	wú shù mù de
颤动	جنبش؛ تکان	chàn dòng
发抖的	لرزش دار	fā dǒu de
战栗的	لرزش دار	zhàn lì de
渠	سنگر؛ خندق زدن	qú
战壕	سنگر؛ خندق زدن	zhàn háo
惊惶	بیم وهراس	jīng huáng
擅自进入	حد شکنی	shàn zì jìn rù
非法侵入	حد شکنی	fēi fǎ qīn rù
三角形	مثلث؛ سه گوش	sān jiǎo xíng
三个一组	مثلث؛ سه گوش	sān gè yī zǔ
三角形的	مثلثی؛ سهگوشی	sān jiǎo xíng de
三人间的	مثلثی؛ سهگوشی	sān rén jiān de
部落	قبیله	bù luò
法庭	دیوان محاکمات	fǎ tíng
法官席	دیوان محاکمات	fǎ guān xí
支流的	ذمی؛ خراجگزار	zhī liú de
纳贡的	ذمی؛ خراجگزار	nà gòng de
贡物	جزیه	gòng wù
细流	چکاندن؛ چکیدن	xì liú
机敏的	شیادانه؛ نیرنگ باز	jī mǐn de
琐事	سرسری گرفتن؛ کم بها	suǒ shì
鸡毛蒜皮的事	ترهات	jī máo suàn pí de shì
触发器	راه‌اندازی کردن	chù fā qì
扳机	راه‌اندازی کردن	bān jī
兆	تریلیون	zhào
三人一组	تثلیث؛ سهگانگی	sān rén yī zǔ
三个一组的东西	تثلیث؛ سهگانگی	sān gè yī zǔ de dōng xī
分成三部分的	سه طرفه؛ سه جزئی	fēn chéng sān bù fen de
三倍数	ثلاثه؛ سهگانه	sān bèi shǔ
凯旋	پیروزی؛ ضفر یافتن	kǎi xuán
胜利	پیروزی؛ ضفر یافتن	shèng lì
得胜的	منصور؛ فریاد پیروزی	dé shèng de
得意洋洋的	منصور؛ فریاد پیروزی	dé yì yáng yáng de
琐碎的	تخمی؛ جزئی	suǒ suì de
不重要的	تخمی؛ جزئی	bù zhòng yào de
平凡	ابتذال	píng fán
电车	واگن برقی؛ اتومبیلبارکش کوتاه	diàn chē
一群	لشکر	yī qún
热带的	گرمسیری؛ گرمسیر	rè dài de
快步	یورتمه؛ یورتمه رفتن	kuài bù
小跑	یورتمه؛ یورتمه رفتن	xiǎo páo
麻烦	زحمت؛ گرفتاری	má fan
烦恼的	پریشان؛ رنجه	fán nǎo de
麻烦的	مصدع؛ پرزحمت	má fan de
泥铲	ماله؛ ماله کشیدن	ní chǎn
泥刀	ماله؛ ماله کشیدن	ní dāo
不假	بخوبی؛ حقیقی	bù gēi
小号	شیپور	xiǎo hào
后备箱	تنه؛ خرطوم	hòu bèi xiāng
捆绑	خرپا؛ پایه زدن	kǔn bǎng
受托人	امانت دار	shòu tuō rén
轻信的	متوکل	qīng xìn de
信任他人的	متوکل	xìn rèn tā rén de
可信任的	موثق؛ معتمد	kě xìn rèn de
实情	اصل؛ حقیقت	shí qíng
说真话的	صادق؛ صدیق	shuì zhēn huà de
深信不疑地	صادقانه	shēn xìn bù yí de
圆领汗衫	تی‌شرت	yuán lǐng hàn shān
恤	تی‌شرت	xù
海啸	سونامی	hǎi xiào
浴盆	لگن؛ طشت	yù pén
隧道	تیوب	suì dào
肺结核	سل	fèi jié hé
顿挫性结核	سل	dùn cuò xìng jié hé
管状的	لولهای	guǎn zhuàng de
小管的	لولهای	xiǎo guǎn de
缝褶	تو گذاشتن؛ شمشیر نازک	féng xí
星期二	سه‌شنبه	xīng qī èr
一簇	منگوله؛ شرابه	yī cù
用力拉	یدک کش؛ بازور کشیدن	yòng lì lā
拖曳	یدک کش؛ بازور کشیدن	tuō yè
跌倒	غلت زدن؛ معلق خوردن	diē dǎo
摔跤	غلت زدن؛ معلق خوردن	shuāi jiāo
平底玻璃杯	معلق زن	píng dǐ bō li bēi
一杯的容量	معلق زن	yī bēi de róng liàng
吵闹	هیاهو؛ جنجال راه	chǎo nào
吵闹的	پر آشوب؛ بهم ریخته	chǎo nào de
纷乱的	پر آشوب؛ بهم ریخته	fēn luàn de
歌曲	آهنگ؛ لحن	gē qǔ
主旋律	آهنگ؛ لحن	zhǔ xuán lǜ
地下道	نقب؛ زیرنقب	dì xià dào
污浊的	کدر؛ درهم وبرهم	wū zhuó de
涡轮机	توربین	wō lún jī
动荡	اغتشاش؛ تلاطم	dòng dàng
草皮	باچمن پوشاندن؛ کلوخ چمنی	cǎo pí
泥炭	باچمن پوشاندن؛ کلوخ چمنی	ní tàn
火鸡	عثمانی؛ بوقلمون	huǒ jī
无用的家伙	عثمانی؛ بوقلمون	wú yòng de jiā huo
土耳其语	ترک؛ عثمانی	tǔ ěr qí yǔ
土耳其的	ترک؛ عثمانی	tǔ ěr qí de
转弯	چرخیدن، نوبت	zhuǎn wān
转动	چرخیدن، نوبت	zhuǎn dòng
车工	برگردان؛ چرخنده	chē gōng
体育协会会员	برگردان؛ چرخنده	tǐ yù xié huì huì yuán
海龟	سنگ پشت؛ لاک پشت	hǎi guī
家庭教师	لله؛ معلمی کردن	jiā tíng jiào shī
导师	لله؛ معلمی کردن	dǎo shī
转移向量	تلویزیون	zhuǎn yí xiàng liàng
花呢	نوعی فاستونی	huā ní
十二	دوازده	shí èr
第二十	بیستم؛ بیستمین	dì èr shí
二十分之一	بیستم؛ بیستمین	èr shí fēn zhī yī
二十	بیست	èr shí
两次	دو بار	liǎng cì
小枝	شاخه؛ چیله	xiǎo zhī
细枝	شاخه؛ چیله	xì zhī
暮光	شفق	mù guāng
曙光	شفق	shǔ guāng
双胞胎中一人	دوقلو؛ همزاد	shuāng bāo tāi zhōng yī rén
双胞胎的	دوقلو؛ همزاد	shuāng bāo tāi de
二	دو	èr
类型	نوع	lèi xíng
样式	نوع	yàng shì
无所不在的	همه‌جا حاضر؛ فراگیر	wú suǒ bù zài de
到处存在的	همه‌جا حاضر؛ فراگیر	dào chù cún zài de
丑陋的	زشت	chǒu lòu de
溃疡	زخم؛ زخم گوارشی	kuì yáng
腐烂物	زخم؛ زخم گوارشی	fǔ làn wù
终极	نهایی	zhōng jí
根本	نهایی	gēn běn
伞	چتر	sǎn
包罗万象的	چتر	bāo luó wàn xiàng de
不会的	ناتوان؛ قادر نبودن	bù huì de
无法接受的	غیرقابل قبول	wú fǎ jiē shòu de
不受欢迎的	غیرقابل قبول	bù shòu huān yíng de
未认识到的	بی‌خبر؛ ناآگاه	wèi rèn shi dào de
无常的	نامطمئن؛ نامشخص	wú cháng de
不确定	عدم قطعیت	bù què dìng
不可靠	عدم قطعیت	bù kě kào
叔父	عمو، دایی	shū fù
伯父	عمو، دایی	bó fù
揭开	آشکار کردن؛ برداشتن پوشش	jiē kāi
在之下	زیر	zài zhī xià
低于	زیر	dī yú
大学本科生	دانشجوی کارشناسی	dà xué běn kē shēng
大学肄业生	دانشجوی کارشناسی	dà xué yì yè shēng
地下	زیرزمینی	dì xià
地铁	زیرزمینی	dì tiě
在下面划线	زیرخط کشیدن؛ تأکید کردن	zài xià miàn huà xiàn
作的衬里	زیرخط کشیدن؛ تأکید کردن	zuō de chèn lǐ
在下面挖	تضعیف کردن	zài xià miàn wā
渐渐破坏	تضعیف کردن	jiàn jiàn pò huài
在的下面	زیر؛ در زیر	zài de xià miàn
试图	بر عهده گرفتن	shì tú
解开	بازگرداندن؛ خنثی کردن	jiě kāi
失业	بیکاری	shī yè
料想不到的	غیرمنتظره	liào xiǎng bù dào de
不正直的	ناعادلانه	bù zhèng zhí de
打开	آشکار شدن	dǎ kāi
不快乐的	ناراحت؛ ناخشنود	bù kuài lè de
统一的	لباس فرم؛ یکنواخت	tǒng yī de
独一无二的	منحصربه‌فرد	dú yī wú èr de
独特的	منحصربه‌فرد	dú tè de
单位	واحد	dān wèi
分队	واحد	fēn duì
全世界的	جهانی	quán shì jiè de
宇宙	جهان؛ کیهان	yǔ zhòu
未知的	ناشناخته	wèi zhī de
卸货	خالی کردن بار	xiè huò
从卸下	خالی کردن بار	cóng xiè xià
开的锁	باز کردن قفل	kāi de suǒ
开启	باز کردن قفل	kāi qǐ
未付款的	پرداخت‌نشده؛ بدون حقوق	wèi fù kuǎn de
不支薪水的	پرداخت‌نشده؛ بدون حقوق	bù zhī xīn shuǐ de
使人厌恶的	ناخوشایند	shǐ rén yàn wù de
拔开的塞子	از برق کشیدن	bá kāi de sāi zi
拔去的插头	از برق کشیدن	bá qù de chā tóu
向上的	بالا	xiàng shàng de
起床的	بالا	qǐ chuáng de
使现代化	به‌روزرسانی؛ به‌روز کردن	shǐ xiàn dài huà
上坡	ارتقا؛ ارتقا دادن	shàng pō
升级	ارتقا؛ ارتقا دادن	shēng jí
上传	بارگذاری	shàng chuán
上面的	بالایی	shàng miàn de
较高的	بالایی	jiào gāo de
弄翻的	ناراحت؛ برهم زدن	lòng fān de
楼上的	طبقه بالا	lóu shàng de
在楼上	طبقه بالا	zài lóu shàng
都市的	شهری	dū shì de
城市的	شهری	chéng shì de
推动力	ترغیب کردن؛ میل شدید	tuī dòng lì
紧急的	فوری	jǐn jí de
急迫的	فوری	jí pò de
我们	ما (مفعول)	wǒ men
用法	کاربرد	yòng fǎ
休假	تعطیلات	xiū jià
疫苗	واکسن	yì miáo
真空	خلأ؛ جاروبرقی	zhēn kōng
含糊的	مبهم	hán hu de
山谷	دره	shān gǔ
溪谷	دره	xī gǔ
有价值的	ارزشمند	yǒu jià zhí de
贵重的	ارزشمند	guì zhòng de
篷车	ون؛ خودرو باری کوچک	péng chē
易变的事物	متغیر	yì biàn de shì wù
变数	متغیر	biàn shù
多样	تنوع؛ گوناگونی	duō yàng
蔬菜	سبزیجات	shū cài
交通工具	وسیله نقلیه	jiāo tōng gōng jù
车辆	وسیله نقلیه	chē liàng
风险	سرمایه‌گذاری پرریسک؛ جسارت کردن	fēng xiǎn
犯罪地点	محل برگزاری	fàn zuì dì diǎn
审判地	محل برگزاری	shěn pàn de
用言辞的	شفاهی؛ کلامی	yòng yán cí de
言语的	شفاهی؛ کلامی	yán yǔ de
查证	تأیید کردن؛ راستی‌آزمایی کردن	chá zhèng
一种描述	نسخه	yī zhǒng miáo shù
版本	نسخه	bǎn běn
垂直的	عمودی	chuí zhí de
老手	کهنه‌سرباز؛ باتجربه	lǎo shǒu
退伍军人	کهنه‌سرباز؛ باتجربه	tuì wǔ jūn rén
经由	از طریق	jīng yóu
振动的	پرانرژی؛ درخشان	zhèn dòng de
受害人	قربانی	shòu hài rén
视频	ویدئو	shì pín
视野	دیدگاه؛ منظره؛ مشاهده کردن	shì yě
村庄	روستا	cūn zhuāng
乡村的	روستا	xiāng cūn de
违犯	نقض کردن	wéi fàn
亵渎	نقض کردن	xiè dú
猛烈	خشونت	měng liè
暴力	خشونت	bào lì
暴力的	خشونت‌آمیز	bào lì de
实际上起作用的	مجازی	shí jì shàng qǐ zuò yòng de
虚的	مجازی	xū de
病毒	ویروس	bìng dú
签证	ویزا	qiān zhèng
签发	ویزا	qiān fā
看得见的	قابل مشاهده	kàn dé jiàn de
视觉	بینایی؛ چشم‌انداز	shì jué
