एक	یک (حرف تعریف نامعین)	ek
देने वाला	رزاق؛ تامین کننده	dene vaalaa
प्रदेश	ایالت؛ استان	pradesh
प्रान्तीय	ولایتی؛ استانی	praantiiy
अस्थायी	موقت	asthaayii
भड़काऊ	برانگیزنده؛ عصبانی کننده	bharakaauu
चिढना	تحریک کردن؛ خشمگین کردن	chidhanaa
परिषद् अध्यक्ष	ناظم دانشکده	parishad adhyaksh
खोजते फ़िरना	پرسه زدن	khojate firanaa
दबे पाँव की जाने वाली चहलकदमी	پرسه زدن	dabe paanv kii jaane vaalii chahalakadamii
सामीप्य	نزدیکی؛ قرب	saamiipy
समझदारी	مصلحت؛ حزم	samajhadaarii
दूरदर्शी	مدبرانه؛ مصلحتی	duuradarshii
वुद्धीमान	مدبرانه؛ مصلحتی	vuddhiimaan
प्रशिया	پروس	prashiyaa
भजन	سرود روحانی	bhajan
भजन् करना	سرود روحانی	bhajan karanaa
नक़ली	عملواره	naqalii
कूट	عملواره	kuut
छि!	علامت تعجب	chhi!
धत्!	علامت تعجب	dhat!
छालरोग	داء الصدف	chhaalarog
त्वचा रोग	داء الصدف	tvachaa rog
अतींद्रिय	روانی؛ پدیده روحی	atiindriy
मनोवैज्ञानिक	روانشناختی	manovaigyaanik
मनोवैज्ञानिक संबन्धी	روانشناختی	manovaigyaanik sanbandhii
मनोचिकित्सक	روان شناس	manochikitsak
मनोविज्ञान	روان شناسی؛ معرفه النفس	manovigyaan
शराबखाना	میخانه	sharaabakhaanaa
मयखाना	میخانه	mayakhaanaa
वयःसंधि	تکلیف؛ بلوغ	vayahsandhi
यौवनारंभ	تکلیف؛ بلوغ	yauvanaaranbh
सार्वजनिक	عمومی	saarvajanik
प्रकाशन	منتشر؛ نشر	prakaashan
प्रख्यापन	منتشر؛ نشر	prakhyaapan
पेश करना	منتشر کردن	pesh karanaa
प्रकाशक	ناشر	prakaashak
प्रकाशक्	ناشر	prakaashak
पुडिंग	فرنی	puding
हलुवा	فرنی	haluvaa
हाँफ़ता हुआ	باد دار؛ باد کرده	haanfataa huaa
फुफ्फुसी	ریوی	phuphphusii
फुफ्फुसीय	ریوی	phuphphusiiy
पादरी वर्ग	منبر؛ سکوب خطابه	paadarii varg
नाड़ी	نبض؛ فشار نبض	naarii
दाल	نبض؛ فشار نبض	daal
घूँसा	منگنه؛ مشت زدن	ghuunsaa
बिंदुदार	مثل نقطه	bindudaar
अत्यौपचारिक	نکته بین؛ نکته سنج	atyaupachaarik
अति शिष्टाचारी	نکته بین؛ نکته سنج	ati shishtaachaarii
तीक्ष्ण	گوشه دار؛ پر ادویه	tiikshn
धावा बोलना	سیاست کردن؛ عذاب کردن	dhaavaa bolanaa
दण्ड देना	سیاست کردن؛ عذاب کردن	dand denaa
दुर्देय	کیفری؛ مجازاتی	durdey
पंक	پانک	pank
पंट	لگدزدن	pant
अदना	ریغماسی؛ درجه پست	adanaa
पुतली	مردمک؛ حدقه	putalii
कठपुतली	عروسک؛ لعبت	kathaputalii
पिल्ला	توله؛ سگ بچه	pillaa
खरीदी हुई बस्तु	خرید؛ شراء	khariidii huii bastu
ख़रीदार	خریدار	khariidaar
शुद्ध	صاف؛ محض	shuddh
पूर्ण रुप से	صرفاً	puurn rup se
शुद्धीकरण	پاک سازی	shuddhiikaran
परिष्करण	پاک سازی	parishkaran
स्वच्छीकरण	تصفیه؛ تطهیر	svachchhiikaran
परिष्कृत करना	تصفیه کردن؛ خالص کردن	parishkrit karanaa
अतिनैतिकतावादी	پاک دین	atinaitikataavaadii
प्यूरिटन	پاک دین	pyuuritan
बैंगनी	بنفش	bainganii
लक्ष्य होना	مفهوم؛ مفاد	lakshy honaa
इरादा	هدف	iraadaa
जेब	کیف؛ غنچه کردن	jeb
धंधा	پیگیری	dhandhaa
पीपदार	چرکدار	piipadaar
आपूर्तिकर्ता	سورساتچی	aapuurtikartaa
पीप	چرک	piip
पोटीन	بتونه؛ زاماسکه	potiin
पिरामिड	هرم	piraamid
पिरामिडअ	هرم	piraamida
परिमाणात्मक	کمی	parimaanaatmak
परिमाण संबंधी.	کمی	parimaan sanbandhii.
खदान	شکار؛ معدن سنگ	khadaan
एक सेर के लगभग नाप	کوارت	ek ser ke lagabhag naap
क्वार्ट पैमाना	کوارت	kvaart paimaanaa
प्यास बूझाना	فرو نشاندن	pyaas buujhaanaa
शिकायती	شکوه گر؛ زود رنج	shikaayatii
प्रश्न	سوال؛ پرسیدن	prashn
प्रश्नावली	پرسشنامه	prashnaavalii
झटपट	به سرعت	jhatapat
कुशाग्रता	تندی؛ فرزی	kushaagrataa
धीरे	با آرامش	dhiire
रजाई	دواج	rajaaii
दुलाई	دواج	dulaaii
क्विन्सी	زهرباد	kvinsii
कुनैन	گنه گنه	kunain
काँपना	ترکش؛ تیر دان	kaanpanaa
कंपन	ترکش؛ تیر دان	kanpan
उद्धरण	نقل؛ مظنه	uddharan
दाम लगाना	نقل کردن	daam lagaanaa
रब्बी	خاخام؛ عالم یهودی	rabbii
ख़रगोश	خرگوش	kharagosh
अनाड़ी खिलाड़ी	خرگوش	anaarii khilaarii
जलांतक	هاری؛ بیماری هاری	jalaantak
रेबीज़{पागल कुत्ते के काटने पर होने वाला रोग}	هاری؛ بیماری هاری	rebiiza{paagal kutte ke kaatane par hone vaalaa rog}
प्रजातीय	نژادی	prajaatiiy
जातीयता	نژادپرستی	jaatiiyataa
जातिवाद	نژادپرستی	jaativaad
जातिवादी	نژادپرست	jaativaadii
विध्वंस	طاقچه	vidhvans
शिकंजा	طاقچه	shikanjaa
मज़ेदार कहानियाँ सुनाने वाला	داستانسرا	mazedaar kahaaniyaan sunaane vaalaa
किरण सम्बन्धी	شعاعی؛ زندی	kiran sambandhii
अरीय	شعاعی؛ زندی	ariiy
प्रफुल्ल	ساطع؛ تابان	praphull
विकिरण	تابش	vikiran
प्रस्फुरण	تابش	prasphuran
सुधारवादी	ریشهای؛ رادیکال	sudhaaravaadii
रेडियो	رادیو	rediyo
बेतार	رادیو	betaar
रेडियम	رادیوم؛ شب چراغ	rediyam
एक प्रकार की धातु	رادیوم؛ شب چراغ	ek prakaar kii dhaatu
रेडियस	شعاع؛ زند اعلی	rediyas
रैग	کهنه؛ جل	raig
फटे पुराने वस्त्र	کهنه؛ جل	phate puraane vastr
क्लांत	مرقع	klaant
अपरिष्कृत	مرقع	aparishkrit
चढ़ाई	یورش کردن؛ یورش آوردن	charhaaii
रेल	ریل	rel
रेलमार्ग	راه آهن؛ خط آهن	relamaarg
यू. एस.रेलवे	راه آهن؛ خط آهن	yuu. esa.relave
रेलवे	راه‌آهن	relave
बौछार	باران، باریدن	bauchhaar
वर्षा	باران، باریدن	varshaa
ऐरावत	رنگین کمان	airaavat
मेघधनुष	رنگین کمان	meghadhanush
पानी बरसना	بارندگی	paanii barasanaa
ऐयाश	شن کش	aiyaash
ढलानअ	شن کش	dhalaana
ठूसना	غوچ؛ سنبه زدن	thuusanaa
ठोकर मारना	غوچ؛ سنبه زدن	thokar maaranaa
शाखित होना	منشعب کردن؛ شاخه دادن	shaakhit honaa
शाखाएँ बनाना	منشعب کردن؛ شاخه دادن	shaakhaaen banaanaa
बन्दूक का गज़	سنبه	banduuk kaa gaz
पशु फार्म	دامداری کردن	pashu phaarm
पशु फ़ार्म चलाना	دامداری کردن	pashu faarm chalaanaa
बेतरतीब	تصادفی	betaratiib
वनपाल	جنگل بان؛ هنگ سوار	vanapaal
रेंजर	جنگل بان؛ هنگ سوار	renjar
फिरौती	فدیهدادن؛ فدیه	phirautii
फीरौती	فدیهدادن؛ فدیه	phiirautii
तोरी	تجاوز بناموس کردن	torii
बलात्कार	تجاوز بناموس کردن	balaatkaar
शीघ्रता	تندی؛ تیزی	shiighrataa
छोटी हल्की तलवार	سخمه	chhotii halkii talavaar
अत्यन्त आह्लादजनक	هیجان انگیز	atyant aahlaadajanak
निराला	طرفه؛ نادر	niraalaa
कदाचित	کمتر؛ نادراً	kadaachit
कभी कभार	کمتر؛ نادراً	kabhii kabhaar
अप्राप्यता	ندرت؛ کمیابی	apraapyataa
दुर्लभता	ندرت؛ کمیابی	durlabhataa
दुष्ट	رذل؛ پدرسوخته	dusht
फुन्सी	عجول؛ سبکسر	phunsii
हड़तालभंजक	موش بزرگ	harataalabhanjak
चूहा	موش بزرگ	chuuhaa
अभिपुष्ट करना	بتصویب رساندن؛ به تصویب رساندن	abhipusht karanaa
श्रेणी नर्धारण	رتبه‌بندی	shrenii nardhaaran
सचेतन	معقول؛ عقلی	sachetan
विवेक से	منطقا	vivek se
तर्कसंगत ढंग से	منطقا	tarkasangat dhang se
धड़ा धड़	خسخس؛ خسخس کردن	dharaa dhar
भुक्खड़	دله؛ پر اشتیاق	bhukkhar
किरण	پرتو؛ شعاع	kiran
विरूद्ध प्रतिक्रिया करना	واکنش نشان دادن	viruuddh pratikriyaa karanaa
प्रतिक्रिया	معرفی؛ انعکاس	pratikriyaa
प्रतिक्रियात्मक	ارتجاعی؛ مرتجع	pratikriyaatmak
प्रतिक्रियावादी	ارتجاعی؛ مرتجع	pratikriyaavaadii
प्रतिघातक	واکنشی	pratighaatak
प्रतिक्रियाशील	واکنشی	pratikriyaashiil
रियैक्टर	رآکتور؛ عامل واکنش	riyaiktar
पढ़ना	خواندن	parhanaa
सुपाठ्य	خواندنی؛ قابل خواندن	supaathy
पेशकार	خواننده	peshakaar
रीडर	خواننده	riidar
अध्ययन	خواندن (فعل)	adhyayan
यथार्थवाद	رآلیسم؛ واقع بینی	yathaarthavaad
लावक	درو گر؛ ماشین درو	laavak
फिर से सजाना	بازچیدن	phir se sajaanaa
पुनः व्यवस्थित करना	بازچیدن	punh vyavasthit karanaa
पुनर्व्यवस्थापन	باز چینی	punarvyavasthaapan
पुनर्प्रबंधन	باز چینی	punarprabandhan
समुचित रुप से	منطقی	samuchit rup se
तर्कबुद्धि	استدلال؛ تعقل	tarkabuddhi
तर्क्	استدلال؛ تعقل	tark
आश्वासन देना	دوباره اطمینان دادن	aashvaasan denaa
फिर हिम्मत दिलाना	دوباره اطمینان دادن	phir himmat dilaanaa
विद्रोही	یاغی؛ عاصی	vidrohii
राज विरोधी	یاغی؛ عاصی	raaj virodhii
बगावत	شورش؛ عناد	bagaavat
अक्खड़	عاصی؛ شورشی	akkhar
जन्मांतर	باز زاد؛ تولد مجدد	janmaantar
पुनरुज्जीवन	باز زاد؛ تولد مجدد	punarujjiivan
प्रतिघात	اعاده؛ پس زدن	pratighaat
सदमा	اعاده؛ پس زدن	sadamaa
पुनर्निर्माण करना	بازسازی کردن	punarnirmaan karanaa
फिर बनाना	بازسازی کردن	phir banaanaa
फटकारना	زخم زبان	phatakaaranaa
बुरा भला कहना	زخم زبان	buraa bhalaa kahanaa
उद्दण्ड	ناتو	uddand
याद करना	یاد آوردن؛ فرا خواندن	yaad karanaa
दुबारा ढालेना	ازنو ریختن	dubaaraa dhaalenaa
फिर ढालना	ازنو ریختن	phir dhaalanaa
कम होना	دور شدن؛ پس رفتن	kam honaa
समापक	گیرنده	samaapak
अभी अभी	اخیراً	abhii abhii
हाल मेँ	اخیراً	haal men
अधिग्रहण	پذیرش	adhigrahan
ग्रहणशील	شنوا	grahanashiil
संग्राहक	شنوا	sangraahak
ग्राही	گیرنده؛ ستاره مساعد	graahii
रिसेप्टर	گیرنده؛ ستاره مساعد	riseptar
विश्राम	فترت؛ طاقچه ساختن	vishraam
मन्दी	رکود	mandii
औषधनिर्देश	دستور پخت	aushadhanirdesh
प्राप्तकर्ता	دریافت کننده؛ وصول کننده	praaptakartaa
परस्पर का	معکوس	paraspar kaa
