sarcastic	گوشه؛ نیشدار	saarkastik
sarcastically	کنایه آمیز	saarkastikli
sarcoma	سارکوم؛ تومور بدخیم	saarkomer
sardonic	کنایه آمیز	saardaanik
sash	ارسی	sash
sate	فرو نشاندن	seyt
satellite	قمر؛ ماهواره	satalait
satin	اطلس؛ ساتین	satan
satire	هجا؛ طنز	sataier
satirical	هزلی	satirakel / satirikel
satirist	طنز نویس	saterast
satisfaction	رضایت	satasfakshen / satisfakshen
satisfactory	مرضی؛ رضایت بخش	satasfaktri / satisfakteri
satisfy	اداکردن؛ اقناع کردن	satasfai / satisfai
satisfying	اقناع؛ ارضاء	satisfaiing
saturated	سیراب؛ سیر شده	sachereytid
saturday	شنبه	saterdi / satidey
sauce	سس	sos
saucepan	ماهی تابه؛ روغن داغ کن	sospan
saucer	نعلبکی؛ بشقاب کوچک	soser
sausage	کالباس؛ سوسیس	sosaj / sosij
savage	وحشی؛ سبع	savaj / savij
savagely	وحشیانه	savijli
savants	عقلا	savants
save	ذخیره کردن، نجات دادن	seyv
savior	ناجی؛ منجی	seyvyer
savory	با مزه؛ مورد پسند	seyveri
sawdust	خاک اره	sodast
saxon	ساکسون	saksan
say	گفتن	sey
scab	گری	skab
scabbard	نیام؛ غلاف شمشیر	skaberd
scaffold	داربست؛ چوب بست	skafald
scaffolding	داربستبندی	skafalding
scald	آب پز کردن	skold
scale	وزنه؛ مقیاس	skeyl
scalp	فرق سر	skalp
scan	ور انداز کردن؛ اجمالا مرور کردن	skan
scandal	رسوایی	skandel
scandalous	افتراآمیز	skandalas
scanning	مرور اجمالی	skaning
scant	کم دادن؛ بخیلانه دادن	skant
scanty	غیر کافی	skanti
scapula	استخوان پهن	skapyala
scar	اثر زخم داشتن	skaar
scarce	کمیاب	skers
scarcely	نادراً	skersli
scarcity	کمی؛ قحطی	skersiti
scare	ترساندن	sker
scared	ترسیده	skerd
scarf	شال؛ روسری	skaarf
scarlet	شله؛ سرخ شدگی	skaarlat
scary	ترسناک	skeri
scatter	پراکندن؛ پخش کردن	skater
scenario	سناریو	sinerio
scene	صحنه	sin
scenery	صحنه سازی	sineri
scent	عطر؛ رایحه	sent
scented	معطر؛ بودار	sentid
sceptic	شکاک	skeptik
schedule	برنامه، برنامه‌ریزی کردن	skejul
scheme	نقشه طرح کردن	skim
schism	اختلاف وتفرقهدرکلیسا	skizam
scholar	محقق	skaaler
scholarship	بورسیه	skaalership
school	مدرسه	skul
schoolboy	پسر مدرسه؛ پسر مدرسه ای	skulboy
schoolmaster	مکتب دار؛ ناظم مدرسه	skulmaster
schoolroom	اطاق درس	skulrum
schooner	گاری سفری	skuner
science	علم	saians
scientific	علمی	saiantifik
scientist	دانشمند	saiantist
scissors	مقراض؛ قطع کننده	sizerz
scold	عتاب؛ بدحرفی کردن	skold
scoop	چمچه؛ کج بیل	skup
scope	دایره؛ دامنه	skop
score	امتیاز، امتیاز گرفتن	skor
scorn	استهزاء؛ خردانگاری	skorn
scotch	مردد بودن؛ ویسکی اسکاتلندی	skaach
scotland	اسکاتلند	skaatland
scoundrel	ارقه	skaundrel
scourge	وسیله تنبیه؛ غضب خداوند	skerj
scout	پیشاهنگ؛ پیشاهنگی کردن	skaut
scow	قایق تفریحی؛ وته پهن	skau
scrap	قراضه	skrap
scrape	ستردن؛ ساییدن	skreyp
scratch	خراشیدن	skrach
scrawl	گشاد نشستن	skrol
scream	داد؛ جیغ	skrim
screen	صفحه نمایش	skrin
screening	غربالگری	skrining
screw	پیچ؛ پیچ کردن	skru
scribble	بد نوشتن	skribel
script	متن سند؛ متن نمایشنامه	skript
scripture	کتاب آسمانی	skripcher
scrub	مالیدن؛ تیغستان	skrab
scruple	وسواس؛ نهی اخلاقی	skrupel
scrutinizing	مدقق؛ تدقیق	skrutanaizing
scrutiny	مداقه؛ بررسی دقیق	skrutani
scuffle	کشمکش کردن	skafel
sculptor	حجار؛ صورتگر	skalpter
sculpture	مجسمهسازی	skalpcher
scurry	مسابقه کوتاه	skeri
scuttle	ذغالدان؛ گام تند	skatel
scythe	درو کردن؛ با داس بردن	sith / saith
scythian	سیت	sithian
sea	دریا	si
seacoast	دریا کنار	sikost
seal	سیل؛ پلمب	sil
seaman	جاشو؛ جاسو	siman
seams	درزگیری کردن؛ درز گرفتن	simz
seaport	بندر؛ دریابندر	siport
search	جستجو، جستجو کردن	serch
seashore	کناره؛ دریاکنار	sishor
season	فصل	sizan
seasonal	موسمی؛ فصلی	sizanel
seat	صندلی	sit
seating	نشیمن؛ نشیمنگاه	siting
secede	منتزع شدن	sisid
secessionist	جدارو	siseshenist
seclusion	عزلت؛ گوشه نشینی	sikluzhen
second	ثانیه؛ دوم؛ دوم، ثانیه	sekand
secondary	ثانویه؛ فرعی	sekanderi
secondly	ثانیاً	sekandli
secrecy	نهفتگی؛ پوشیدگی	sikrasi
secret	راز، مرموز	sikrat / sikrit
secretary	منشی	sekrateri
secrete	ترشح کردن	sikrit
secretion	ترشح	sakrishen
secretive	پنهان کار	sikrativ
secretly	سرا؛ دزدکی	sikritli
sect	تیره؛ مسلک	sekt
section	بخش	sekshen
sectional	مقطعی؛ قطعه قطعه	sekshenel
secular	غیر روحانی	sekyaler
secure	مصون؛ محفوظ	sikyur
security	امان؛ امنیت	sikyuriti
sedan	تخت روان	sadan
sedentary	نشسته؛ غیر متحرک	sedanteri
sediment	جرم؛ رسوب	sedamant
sedition	فتنه؛ فتنه پراکنی	sidishen
seditious	فتنهجو؛ مفسد	sidishas
seduced	مفتون	sidust
seductive	فریبا؛ گمراه کننده	sidaktiv
see	دیدن	si
seed	دان؛ دانه	sid
seedy	تخمی؛ پرتخم	sidi
seek	پوییدن؛ تفحص کردن	sik
seeker	جوینده	siker
seem	به نظر رسیدن	sim
seeming	ظاهر نما	siming
segment	قسمت؛ حلقه	segmant / segment
seine	تور؛ سن	seyn
seize	تصرف کردن؛ غصب کردن	siz
seizure	ضبط؛ تصرف	sizher
seldom	بندرت؛ به ندرت	seldam
select	پسندیدن؛ نشان کردن	salekt
selection	انتخاب؛ گلچین	salekshen
selective	بهگزین؛ گزینشی	salektiv
self	خود؛ خویشتن	self
selfish	خودخواهانه؛ خود پرست	selfish
selfishness	نخوت؛ خودپسندی	selfishnas
sell	فروختن	sel
seller	فروشنده	seler
semblance	ظن قوی	semblans
semen	منی؛ نطفه	siman
semi	نصف شده	semi / semai
seminal	نطفهای	semanel
seminar	سمینار	semanaar
seminary	الحوزه؛ فیضیه	semaneri
senate	مجلس سنا	senat / senit
senator	سناتور	senater
send	فرستادن	send
senegal	سنگال	senagol
senility	پیری	saniliti
senior	ارشد؛ بالارتبه	sinyer
seniority	ارشدیت	sinyoriti
sensation	احساس؛ آب و تاب	senseyshen
sensational	حسی؛ شورانگیز	senseyshenel
sense	حس	sens
sensibility	احساس ودرک	sensibiliti
sensible	محسوس؛ معقول	sensabel
sensitive	حساس	sensativ / sensitiv
sensitiveness	حساسیت	sensativnas
sensual	شهوانی؛ نفسانی	senshawel
sentence	جمله	sentans
sentiment	عاطفه	sentamant / senamant
sentimental	احساساتی	sentamentel / senamentel
separate	جدا	sepereyt / seperit
separately	جداگانه؛ جدا جدا	seperatli / sepratli
separation	متارکه؛ فک	sepereyshen
separatist	تجزیه طلب	seperatist
september	سپتامبر	september
septic	پلشت؛ ماده عفونی	septik
sequence	قطار؛ توالی	sikwans
serbia	صربستان	serbia
serbian	صربستانی؛ صرب	serbian
serene	متین	serin
sergeant	گروهبان	saarjant
series	سری	siriz
serious	جدی	sirias
seriously	جدا؛ بی شوخی	siriasli
seriousness	جذبه؛ جد	siriasnas
sermon	موعظه؛ روضه	serman
serpent	حیه؛ ماربزرگ	serpant
serpentine	مارپیچ؛ مارپیچی	serpantain
serrated	منغمز	sereytid
serum	سرم؛ خونابه	siram
servant	فراش؛ مستخدم	servant
serve	خدمت کردن، سرو غذا	serv
server	کمک کننده	server
service	خدمات	servas / servis
servile	شایسته نوکران	servel
servility	نوکرمابی	serviliti
servitude	چاکری؛ بندگی	servatud
sesame	کنجد	sesami
session	نشست؛ جلسه	seshen
set	تنظیم کردن؛ مجموعه؛ قرار دادن	set
setter	گذارنده	seter
settle	وطن کردن؛ نشست کردن	setel
settlement	مسکن؛ واریز	setalmant
settler	مهاجر	setaler / setler
seven	هفت	sevan
seventeen	هفده	sevantin
seventh	سابع؛ یک هفتم	sevanth
seventy	هفتاد	sevanti / sevani
several	چندین	sevrel / severel
severe	شدید؛ سخت	savir
severely	به شدت	savirli
severity	سختی؛ خشکی	siveriti
sew	دوختن؛ خیاطی کردن	so
sewing	خیاطی؛ دوزندگی	soing
sewn	دوخته	son
sex	سکس؛ سکسی کردن	seks
sexless	خنثا	sekslis
sexual	جنسی؛ تناسلی	sekshuel
sexuality	جنسیت؛ تمایلات جنسی	sekshualiti
sexy	سکسی	seksi
shabby	نخ نما	shabi
shade	سایه؛ آسمانه	sheyd
shadow	سایه؛ ظل	shado
shadowy	سایه مانند؛ زود گذر	shadoi
shady	سایه دار؛ سایه افکن	sheydi
shaft	چوبه؛ مال بند	shaft
shag	موی زبر	shag
shaggy	پر مو؛ مو دراز	shagi
shah	شاه	shaa
shake	لرزاندن	sheyk
shall	باید (فعل کمکی)	shal
shallow	سطحی؛ تنکاب	shalo
shame	ننگ؛ شرم	sheym
shameful	ننگین؛ رسوا	sheymfel
shameless	وقیح؛ بیعار	sheymlas
shamelessly	بی شرمانه	sheymlasli
shape	شکل	sheyp
shaped	شکل‌دار	sheypt
shapeless	بیقالب؛ بی شکل	sheyplas
shapely	خوش هیکل؛ خوش ترکیب	sheypli
share	اشتراک گذاشتن	sher
shareholder	سهامدار؛ سهمدار	sherholder
sharp	تیز؛ برنده	shaarp
sharpen	تراشیدن؛ تند کردن	shaarpan
sharply	به شدت	shaarpli
sharpness	تیزی؛ حادی	shaarpnas
shatter	خرد کردن؛ متلاشی کردن	shater
shave	تراش؛ تراشیدن	sheyv
shaving	اصلاح؛ صورت تراشی	sheyving
she	او (زن)	shi
sheaf	بافه؛ بافه کردن	shif
sheath	غلاف؛ نیام	shith
sheathed	غلافدار؛ نیامی	shidhd
shed	خرگاه	shed
sheep	گوسفند	ship
sheepish	گوسفندی؛ گوسفندوار	shipish
sheer	یک راست؛ پارچه ظریف	shir
sheet	ورق، ملافه	shit
shelf	طاقچه؛ تاقچه	shelf
shell	پوست؛ لاک	shel
shelter	ملجا؛ ملجاء	shelter
shepherd	چوپان؛ شبان	sheperd
sheriff	داروغه؛ ضابط شهربانی	sheraf / sherif
shield	سپر	shild
shielding	استحفاظ	shilding
shift	نوبت کار؛ نوبت کاری	shift
shine	برق؛ تابیدن	shain
shiny	درخشان؛ براق	shaini
ship	کشتی	ship
shipboard	سوار کشتی؛ کنار کشتی	shipbord
shipbuilder	کشتیساز	shipbilder
shipbuilding	کشتیسازی	shipbilding
shipment	محموله؛ مرسله	shipmant
shipper	مسافر کشتی؛ محموله کشتی	shiper
shipwreck	غرق کشتی؛ کشتی شکسته شدن	shiprek
shirt	پیراهن	shert
shiver	لرزه؛ مورمور شدن	shiver
shock	یکه؛ ضغطه	shaak
shocking	تکان‌دهنده	shaaking
shod	نعل کفش	shaad
shoe	کفش	shu
shoot	نهال؛ تیر زدن	shut
shooting	شلیک؛ تیراندازی	shuting
shop	فروشگاه، خرید کردن	shaap
shopkeeper	دکاندار؛ مغازه دار	shaapkiper
shopping	خرید	shaaping
shore	ساحل	shor
shorn	پشم چیده	shorn
short	کوتاه	short
shortage	کمبود	shortaj / shortij
shorten	کوچک کردن؛ کوتاه کردن	shortan
shortly	به زودی	shortli
shortness	کوتاهی	shortnas
short-term	کوتاه‌مدت	shortterm
shot	تیر؛ عکس	shaat
should	باید (فعل کمکی)	shud
shoulder	شانه	sholder
shout	فریاد زدن، فریاد	shaut
shove	هل؛ تپاندن	shav
shovel	بیل زدن؛ بیلچه زدن	shavel
show	نمایش، نشان دادن	sho
shower	دوش	shauer
showy	خودنما؛ پرجلوه	shoi
shrapnel	گلوله افشان؛ گلوله انفجاری	shrapnel
shred	تکه کردن؛ باریک بریدن	shred
shrewd	ناقلا	shrud
shrewdness	کیاست	shrudnas
shriek	فریاد دلخراش زدن	shrik
shrill	زیر؛ شبیه صفیر	shril
shrimp	میگو	shrimp
shrine	ضریح؛ مرقد	shrain
shrink	انقباض؛ کوچک شدن	shringk
shrinkage	کیس؛ آب رفتگی	shringkij
shrub	درختچه؛ بوته دار کردن	shrab
shrubbery	درختچه زار	shraberi
shudder	لرزه	shader
shut	بستن، بسته	shat
shutter	پشت دری	shater
shy	کمرو؛ خجالتی	shai
shyness	خجالت؛ خجلت	shainas
siberia	سیبریه؛ سیبری	saibiria
sibling	خواهر یا برادر	sibling
sick	بیمار	sik
sickening	بیمار کننده؛ بیزار کننده	sikaning / sikning
sickle	داسقاله؛ دهره	sikel
sickness	داء؛ ناخوشی	siknas
side	کنار	said
sidewalk	پیادهرو	saidwok
sifting	نخاله؛ بوجاری	sifting
sigh	آه کشیدن؛ آوخ کشیدن	sai
sight	دید؛ منظره	sait
sign	علامت، امضا کردن	sain
signal	علامت؛ کوس	signel
signature	امضا	signacher
significance	اهمیت	sagnifikans / signifikans
significant	مهم؛ پرمعنی	sagnifikant / signifikant
signify	باشاره فهماندن	signafai
silence	سکوت	sailans
silent	ساکت؛ خاموش	sailant
silhouette	نیمرخ	silawet
silk	ابریشم؛ خامه	silk
silken	ابریشمی؛ حریری	silkan
silkworm	کرم ابریشم؛ کرم پیله	silkwerm
sill	گسله بستری	sil
silliness	خری	silinas
silly	مهمل؛ نافهم	sili
silver	نقره، نقره‌ای	silver
silverware	نقره آلات	silverwer
silvery	سیمگون؛ سیم اندود	silveri
similar	مشابه	simaler
similarity	شباهت؛ تشابه	simaleriti
simon	شمعون	saiman
simple	ساده	simpel
simplicity	سادگی	simplisiti
simplify	ساده کردن	simplafai
simply	بسادگی	simpli
simultaneous	همزمان؛ مقارن	saimalteynias
simultaneously	همزمان؛ به طور همزمان	saimalteyniasli
sin	خطا؛ گناه	sin
since	از آن زمان که، چون	sins
sincere	صاف؛ صمیمی	sinsir
sincerely	صمیمانه؛ صادقانه	sinsirli
sincerity	خلوص؛ صمیمیت	sinseriti
sinewy	سخت پی	sinyui
sinful	عاصی؛ فاجر	sinfel
sing	آواز خواندن	sing
singer	خواننده	singer
singing	آواز خواندن	singing
single	مجرد، تک	singgel
singly	منفردا؛ یک یک	singgli
singular	تکین	singgyaler
singularity	تکینی	singgyaleriti
sinister	شوم؛ بدشگون	sinister
sink	منجلاب؛ چاهک	singk
sinner	عاصی؛ مخطی	siner
sinuous	گمراه کننده	sinwas
sinus	سینوس؛ معصره	sainas
sip	جرعه؛ مزمزه	sip
sir	آقا	ser
sire	پدری کردن	saier
sister	خواهر	sister
sit	نشستن	sit
site	سایت	sait
situation	موقعیت	sichueyshen
six	شش	siks
sixteen	شانزده	sikstin
sixth	سادس؛ سدس	siksth
sixty	شصت	siksti
size	اندازه	saiz
skeleton	چارچوب؛ اسکلت	skelatan
skepticism	دیرباوری	skeptisizam
sketch	ترسیم؛ طراحی کردن	skech
ski	اسکی، اسکی کردن	ski
skiing	اسکی	skiing
skill	مهارت	skil
skilled	ماهر	skild
skillful	زبده؛ ماهر	skilfel
skillfully	ماهرانه	skilfali
skin	پوست	skin
skinned	مقشر	skind
skinny	لاغر؛ نحیف	skini
skipper	ناخدای کشتی	skiper
skirmish	کشمکش؛ زد و خورد	skermish
skirt	دامن	skert
skull	جمجمه	skel
skullcap	عرقچین؛ کلاه بره	skalkap
sky	آسمان	skai
skylight	پنجره طاق	skailait
skyward	به‌طرف آسمان	skaiwerd
slack	شل کردن	slak
slain	مقتول	sleyn
slam	بهمکوفتن؛ ضربت سنگین	slam
slander	افترا؛ ذم	slander
slang	عامیانه؛ اصطلاح عامیانه	slang
slanting	اریب	slanting
slap	چک؛ سیلی	slap
slash	نشان ممیز؛ خیلی کم کردن	slash
slate	تورق؛ پلمه	sleyt
slaughter	کشتار؛ خونریزی	sloter
slav	اسلاو؛ اسلاو زبان	slaav
slave	برده؛ غلام	sleyv
slavery	برده‌داری؛ بندگی	sleyveri
slavish	غلام صحت	sleyvish
sledge	سورتمه راندن	slej
sleek	چرب ونرم	slik
sleep	خواب؛ خوابیدن	slip
sleepiness	خواب آلودی	slipinas
sleepless	بی خواب	sliplas
sleepy	خواب آلود	slipi
sleeve	آستین	sliv
sleigh	سورتمه راندن	sley
